"20231004142625450296","10/03/2023","1","1:00:00 pm","A1","280.00"
"20231004143116391728","10/03/2023","1","1:00:00 pm","A1","280.00"
"20231004145132756622","10/03/2023","1","1:00:00 pm","A1","280.00"
"20231004145221156113","10/03/2023","1","1:00:00 pm","A2","280.00"
"20231004145311124500","10/03/2023","1","1:00:00 pm","A1","280.00"
"20231004150827668119","10/03/2023","1","1:00:00 pm","A1","280.00"
"20231008200607965894","10/03/2023","1","1:00:00 pm","A1","280.00"
"20231008200941000270","10/03/2023","1","1:00:00 pm","A1","280.00"
"20231008200945841996","10/03/2023","1","1:00:00 pm","A2","280.00"
"20231008200952316850","10/03/2023","1","1:00:00 pm","B1","280.00"
"20231008201001512582","10/03/2023","1","1:00:00 pm","C4","280.00"
"20231008201130471453","10/03/2023","1","1:00:00 pm","A1,A2,A3,A4","1330.00"
"20231008201145785927","10/03/2023","1","1:00:00 pm","B1","280.00"
"20231008201154329010","10/03/2023","1","1:00:00 pm","C2","280.00"
"20231008201205212698","10/03/2023","1","3:00:00 pm","A1,A2,A3,A4,A5","1680.00"
